id,country,year,gdp_growth,employment_thousands,sector
282,South Africa,2008,3.1910438863287998,852.899,Agriculture
283,South Africa,2008,3.1910438863287998,361.973,Mining
284,South Africa,2008,3.1910438863287998,2159.708,Manufacturing
285,South Africa,2008,3.1910438863287998,106.162,Utilities
286,South Africa,2008,3.1910438863287998,1257.695,Construction
287,South Africa,2008,3.1910438863287998,3430.06591796875,Trade services
288,South Africa,2008,3.1910438863287998,849.654,Transport services
289,South Africa,2008,3.1910438863287998,1843.1939697265625,Finance and business services
290,South Africa,2008,3.1910438863287998,4214.703125,Other services
291,South Africa,2006,5.603806458958886,13442.654296875,Total
292,South Africa,2006,5.603806458958886,911.276,Agriculture
293,South Africa,2006,5.603806458958886,488.537,Mining
294,South Africa,2006,5.603806458958886,2098.009,Manufacturing
295,South Africa,2006,5.603806458958886,134.467,Utilities
296,South Africa,2006,5.603806458958886,1107.567,Construction
297,South Africa,2006,5.603806458958886,3682.74609375,Trade services
298,South Africa,2006,5.603806458958886,706.831,Transport services
299,South Africa,2006,5.603806458958886,1524.2120361328125,Finance and business services
300,South Africa,2006,5.603806458958886,2789.009033203125,Other services
301,South Africa,2010,3.039732881279562,14150.99609375,Total
302,South Africa,2010,3.039732881279562,687.11,Agriculture
303,South Africa,2010,3.039732881279562,334.165,Mining
304,South Africa,2010,3.039732881279562,1888.784,Manufacturing
305,South Africa,2010,3.039732881279562,96.42,Utilities
306,South Africa,2010,3.039732881279562,1133.905,Construction
307,South Africa,2010,3.039732881279562,3158.4970703125,Trade services
308,South Africa,2010,3.039732881279562,835.362,Transport services
309,South Africa,2010,3.039732881279562,1796.97705078125,Finance and business services
310,South Africa,2010,3.039732881279562,4219.77587890625,Other services
311,South Africa,2002,3.700374404066679,11784.876953125,Total
312,South Africa,2002,3.700374404066679,1287.7,Agriculture
313,South Africa,2002,3.700374404066679,657.364,Mining
314,South Africa,2002,3.700374404066679,1925.98,Manufacturing
315,South Africa,2002,3.700374404066679,98.972,Utilities
316,South Africa,2002,3.700374404066679,683.247,Construction
317,South Africa,2002,3.700374404066679,2709.195068359375,Trade services
