REF_AREA_LABEL,TIME_PERIOD,GDP_Growth,Employment_Thousands,Sector
South Africa,2008,3.1910438863287998,15076.0537109375,Sector: Total
South Africa,2008,3.1910438863287998,852.899,Sector: Agriculture
South Africa,2008,3.1910438863287998,361.973,Sector: Mining
South Africa,2008,3.1910438863287998,2159.708,Sector: Manufacturing
South Africa,2008,3.1910438863287998,106.162,Sector: Utilities
South Africa,2008,3.1910438863287998,1257.695,Sector: Construction
South Africa,2008,3.1910438863287998,3430.06591796875,Sector: Trade services
South Africa,2008,3.1910438863287998,849.654,Sector: Transport services
South Africa,2008,3.1910438863287998,1843.1939697265625,Sector: Finance and business services
South Africa,2008,3.1910438863287998,4214.703125,Sector: Other services
South Africa,2006,5.603806458958886,13442.654296875,Sector: Total
South Africa,2006,5.603806458958886,911.276,Sector: Agriculture
South Africa,2006,5.603806458958886,488.537,Sector: Mining
South Africa,2006,5.603806458958886,2098.009,Sector: Manufacturing
South Africa,2006,5.603806458958886,134.467,Sector: Utilities
South Africa,2006,5.603806458958886,1107.567,Sector: Construction
South Africa,2006,5.603806458958886,3682.74609375,Sector: Trade services
South Africa,2006,5.603806458958886,706.831,Sector: Transport services
South Africa,2006,5.603806458958886,1524.2120361328125,Sector: Finance and business services
South Africa,2006,5.603806458958886,2789.009033203125,Sector: Other services
South Africa,2010,3.039732881279562,14150.99609375,Sector: Total
South Africa,2010,3.039732881279562,687.11,Sector: Agriculture
South Africa,2010,3.039732881279562,334.165,Sector: Mining
South Africa,2010,3.039732881279562,1888.784,Sector: Manufacturing
South Africa,2010,3.039732881279562,96.42,Sector: Utilities
South Africa,2010,3.039732881279562,1133.905,Sector: Construction
South Africa,2010,3.039732881279562,3158.4970703125,Sector: Trade services
South Africa,2010,3.039732881279562,835.362,Sector: Transport services
South Africa,2010,3.039732881279562,1796.97705078125,Sector: Finance and business services
South Africa,2010,3.039732881279562,4219.77587890625,Sector: Other services
South Africa,2002,3.700374404066679,11784.876953125,Sector: Total
South Africa,2002,3.700374404066679,1287.7,Sector: Agriculture
South Africa,2002,3.700374404066679,657.364,Sector: Mining
South Africa,2002,3.700374404066679,1925.98,Sector: Manufacturing
South Africa,2002,3.700374404066679,98.972,Sector: Utilities
South Africa,2002,3.700374404066679,683.247,Sector: Construction
South Africa,2002,3.700374404066679,2709.195068359375,Sector: Trade services
South Africa,2002,3.700374404066679,682.476,Sector: Transport services
South Africa,2002,3.700374404066679,1272.219970703125,Sector: Finance and business services
South Africa,2002,3.700374404066679,2467.722900390625,Sector: Other services
South Africa,2005,5.277051972954666,12859.3564453125,Sector: Total
South Africa,2005,5.277051972954666,905.652,Sector: Agriculture
